"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Bo Melton","GB","12.5","148.4","1.0","0.0","7.9","0.0","0.0","21.3"
"Dyami Brown","WAS","13.1","166.1","0.6","0.4","7.6","0.0","0.0","21.1"
"Jamal Agnew","JAC","13.7","116.8","0.5","3.7","45.4","0.3","0.1","20.6"
"Greg Ward","PHI","11.8","147.1","0.7","0.0","0.7","0.0","0.0","19.2"
"KhaDarel Hodge","ATL","12.4","127.9","0.9","0.0","4.1","0.0","0.0","18.7"
"Equanimeous St. Brown","CHI","9.6","135.4","0.6","0.4","11.4","0.0","0.0","18.7"
"Tre Tucker","LV","10.7","124.5","0.8","0.0","12.2","0.1","0.0","18.7"
"Dennis Houston","DAL","10.6","127.9","0.8","0.0","2.7","0.0","0.0","18.2"
"Trey Palmer","TB","15.2","154.2","0.5","0.3","1.5","0.0","0.1","18.2"
"Parker Washington","JAC","0.0","177.4","0.0","0.7","4.4","0.0","0.1","18.0"
"Jalen Nailor","MIN","9.4","120.5","0.9","0.0","1.3","0.0","0.0","17.6"
"Dee Eskridge","SEA","14.3","118.4","0.5","3.0","21.0","0.1","0.0","17.6"
"Zach Pascal","ARI","13.4","140.2","0.5","0.1","0.9","0.0","0.1","17.0"
"Shi Smith","CAR","10.1","130.2","0.5","0.1","2.2","0.0","0.2","16.2"
"Deonte Harty","BUF","5.5","130.7","0.3","1.7","12.9","0.0","0.3","15.9"
"David Moore","TB","8.7","104.1","0.6","0.0","10.4","0.1","0.0","15.9"
"Tre Nixon","NE","7.6","108.8","0.7","0.0","5.9","0.0","0.0","15.5"
"Calvin Austin III","PIT","9.3","126.8","0.4","0.3","3.5","0.0","0.1","15.2"
"Trenton Irwin","CIN","13.5","119.0","0.5","0.1","0.7","0.0","0.0","15.1"
"Kendall Hinton","DEN","9.6","111.2","0.5","0.1","6.2","0.0","0.0","14.9"
"Ashton Dulin","IND","9.7","114.9","0.5","0.3","4.7","0.0","0.1","14.9"
"Nelson Agholor","BAL","3.9","140.6","0.2","0.4","1.2","0.0","0.3","14.8"
"Steven Sims Jr.","HOU","6.4","84.3","0.4","0.0","25.1","0.2","0.1","14.6"
